price,latitude,longitude,host_response_rate,host_acceptance_rate,host_listings_count,host_total_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,accommodates,bathrooms,bedrooms,beds,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,host_is_superhost,host_identity_verified,host_has_profile_pic,instant_bookable,has_availability,host_response_time,room_type,phone,work_email,email,brooklyn,manhattan,queens,bronx,staten_island,host_since_days_since,first_review_days_since,last_review_days_since,no_review,air_conditioning,tv,streaming_services,refrigerator,microwave,wifi,parking,gym,water_view,kitchen,neighbourhood_price
3,40.72936,-73.98737,100.0,98.0,21.0,37.0,18,18,0,0,3,1.5,2.0,2.0,0,0,0,258,30,365,2,1,1,3.0,3.0,3.0,3.5,3.0,3.0,3.0,0.07,0,1,1,1,1,3,3,1,0,1,0,1,0,0,0,3400,932.0,106.0,0,1,1,0,0,0,1,0,0,0,1,3.291512915129151
0,40.689041063197415,-73.94297098025326,99.0,23.0,727.0,1336.0,719,0,719,0,1,1.0,4.0,1.0,3,33,63,338,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,4488,1385.667299530936,382.2577618941255,1,0,1,0,1,0,1,0,0,0,1,1.8409785932721712
3,40.64981,-74.00384,100.0,100.0,2.0,2.0,2,2,0,0,7,1.0,3.0,5.0,10,29,59,334,31,90,6,0,0,4.67,4.83,5.0,5.0,5.0,4.5,4.83,0.24,1,1,1,0,1,3,3,1,0,1,1,0,0,0,0,4115,842.0,469.0,0,1,0,0,1,1,0,0,0,1,1,1.768421052631579
0,40.6914176940918,-73.91646575927734,100.0,80.0,2.0,7.0,2,0,2,0,1,1.0,1.0,1.0,30,60,90,365,30,1125,34,3,0,4.82,4.74,4.62,4.85,4.79,4.71,4.71,1.19,1,1,1,0,1,3,1,1,1,1,1,0,0,0,0,2948,938.0,169.0,0,1,1,0,1,1,1,1,0,0,1,1.4621848739495797
2,40.76091128236087,-73.9871185893815,98.0,88.0,2950.0,5154.0,243,3,3,0,2,1.0,1.0,1.0,8,8,8,232,1,1125,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,1,1,3,2,1,0,1,0,1,0,0,0,643,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,1,0,0,3.134851138353765
0,40.6889226,-73.95072329999999,88.0,77.0,19.0,20.0,19,0,19,0,2,2.0,1.0,1.0,0,0,2,182,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,2,1,1,0,1,1,0,0,0,0,439,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,0,0,1,1.8409785932721712
1,40.72271,-73.73588,100.0,90.0,4.0,6.0,4,4,0,0,2,1.0,1.0,1.0,27,56,85,360,30,1125,12,1,0,4.92,5.0,4.92,5.0,5.0,4.83,4.75,0.2,1,1,1,0,1,2,3,1,0,1,0,0,1,0,0,2805,1895.0,210.0,0,1,1,0,1,1,0,1,0,0,1,1.763157894736842
3,40.70511,-73.91918,0.0,50.0,1.0,1.0,1,1,0,0,4,1.0,1.0,2.0,0,0,0,156,30,35,7,1,0,5.0,5.0,4.86,5.0,5.0,5.0,5.0,0.23,0,1,1,0,1,0,3,1,1,1,1,0,0,0,0,3372,975.0,253.0,0,0,0,0,1,0,1,0,0,0,1,1.4621848739495797
1,40.69388,-73.90894,91.2799962938942,58.0,1.0,1.0,1,0,1,0,2,1.0,1.0,1.0,24,54,83,83,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,2811,1385.667299530936,382.2577618941255,1,1,0,0,1,1,1,1,0,0,1,1.4621848739495797
4,40.68736,-73.99224,100.0,78.69644493311343,2.0,2.0,2,2,0,0,2,1.0,1.0,1.0,0,20,50,139,30,1125,37,3,0,4.89,4.86,4.97,4.92,5.0,5.0,4.76,0.53,0,1,1,0,1,1,3,1,1,1,1,0,0,0,0,3159,2189.0,354.0,0,1,1,0,1,1,1,1,0,0,1,4.117647058823529
2,40.78179,-73.94776,100.0,83.0,75.0,81.0,74,72,2,0,3,1.0,2.0,2.0,30,60,90,365,30,365,4,1,0,5.0,4.5,4.5,5.0,5.0,4.75,4.75,0.16,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,3662,832.0,248.0,0,1,1,0,1,1,1,1,0,0,1,2.825
5,40.80746033742761,-73.94495133909683,100.0,100.0,1.0,1.0,1,1,0,0,9,2.0,4.0,6.0,1,7,14,216,2,29,15,15,5,4.87,4.8,4.73,5.0,4.8,4.87,4.87,2.57,0,1,1,1,1,2,3,1,0,0,0,1,0,0,0,270,255.0,95.0,0,1,1,0,1,0,1,1,0,0,1,1.9365351629502572
3,40.77620074651976,-73.9542706310749,100.0,82.0,242.0,373.0,213,213,0,0,3,1.0,0.0,1.0,5,35,65,339,30,365,1,1,0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,0.1,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,2540,387.0,387.0,0,1,1,0,1,1,1,1,0,0,1,2.825
3,40.71891,-73.99607,56.0,44.0,154.0,170.0,153,153,0,0,2,1.0,1.0,1.0,0,0,4,183,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,1,3,1,1,1,0,1,0,0,0,3266,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,0,0,1,3.088235294117647
5,40.67453729819339,-73.95594871224853,91.2799962938942,78.69644493311343,1.0,2.0,1,1,0,0,6,3.0,3.0,3.0,0,0,23,203,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,0,3,1,0,1,1,0,0,0,0,3506,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,0,0,0,2.1127450980392157
1,40.77588056360088,-73.91300115523165,100.0,100.0,2.0,4.0,1,0,1,0,2,1.0,1.0,1.0,9,23,53,233,30,35,13,1,0,4.85,4.85,4.85,4.77,4.92,4.92,4.92,0.67,0,1,1,0,1,3,1,1,0,1,0,0,1,0,0,2534,660.0,442.0,0,0,0,0,0,0,1,1,0,0,0,1.7258064516129032
4,40.68190604277982,-73.97485054143283,100.0,78.69644493311343,1.0,1.0,1,1,0,0,3,1.0,1.0,2.0,28,58,88,88,30,180,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,1,3,1,1,1,1,0,0,0,0,3529,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,0,0,1,3.0869565217391304
5,40.71837,-73.99073,100.0,96.0,253.0,291.0,4,3,1,0,2,1.0,0.0,1.0,24,47,72,272,1,28,129,98,9,4.74,4.82,4.84,4.86,4.82,4.71,4.53,6.15,0,1,1,1,1,3,3,1,1,1,0,1,0,0,0,3031,709.0,88.0,0,1,1,0,1,1,1,0,0,0,0,3.368715083798883
0,40.74351,-73.88822,95.0,69.0,259.0,294.0,216,2,213,1,1,1.0,1.0,1.0,3,31,31,31,30,1125,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,0,1,1,0,1,2,1,1,0,1,0,0,1,0,0,2315,715.0,715.0,0,0,0,0,0,0,1,0,0,0,1,1.2894736842105263
5,40.75217,-73.99893,100.0,96.0,4494.0,4784.0,876,876,0,0,2,1.0,1.0,1.0,0,0,0,180,31,1125,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,1,1,3,3,1,1,1,0,1,0,0,0,2900,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,1,0,1,3.5985130111524164
1,40.65387,-73.92602,100.0,86.0,2.0,2.0,2,0,1,1,1,1.0,1.0,1.0,4,7,37,37,30,30,17,5,1,5.0,5.0,5.0,5.0,4.94,4.65,4.82,0.48,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,1402,1147.0,97.0,0,0,1,0,1,0,1,0,0,0,1,1.515
4,40.71629595366778,-73.96040748051509,100.0,33.0,2.0,2.0,2,1,1,0,2,2.0,2.0,2.0,9,39,69,249,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,1,1,1,0,1,2,1,1,0,1,1,0,0,0,0,4407,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,1,1,0,1,2.7847358121330723
2,40.77131,-73.9571,87.0,72.0,31.0,31.0,31,31,0,0,2,1.0,1.0,1.0,4,34,64,339,30,360,10,0,0,4.6,4.3,4.9,5.0,4.8,5.0,4.3,0.09,0,1,1,0,1,2,3,1,0,1,0,1,0,0,0,3902,3583.0,604.0,0,1,0,0,1,1,1,1,0,0,1,2.825
4,40.76124922399578,-73.96079645567747,100.0,99.0,16.0,29.0,10,10,0,0,2,1.0,1.0,1.0,0,0,0,0,30,90,1,1,0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,0.25,0,1,1,1,1,3,3,1,0,0,0,1,0,0,0,437,197.0,197.0,0,1,1,0,1,1,1,1,0,0,1,2.825
3,40.703390780350695,-73.78421613143061,100.0,100.0,2.0,4.0,2,0,2,0,4,1.0,2.0,3.0,9,24,54,223,2,29,15,11,4,4.6,4.73,4.67,4.67,4.73,4.4,4.53,0.7,0,1,1,0,1,3,1,1,0,1,0,0,1,0,0,697,721.0,83.0,0,0,0,1,1,1,1,1,1,0,1,1.6390977443609023
1,40.795705696363264,-73.97113717711842,70.0,37.0,36.0,79.0,36,18,18,0,2,3.0,1.0,1.0,0,0,0,181,30,500,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,1329,1385.667299530936,382.2577618941255,1,1,1,0,0,1,1,0,0,0,1,3.020408163265306
1,40.62817,-74.07965,100.0,83.0,6.0,9.0,6,0,6,0,1,1.0,1.0,1.0,29,59,89,179,30,160,21,0,0,4.81,4.9,4.95,4.86,4.86,4.62,4.81,0.45,1,1,1,0,1,3,1,1,0,0,0,0,0,0,1,1593,1486.0,492.0,0,1,1,0,0,1,1,0,0,0,1,1.75
4,40.64306,-73.95114,91.2799962938942,50.0,1.0,4.0,1,1,0,0,2,1.0,2.0,2.0,29,59,89,364,30,30,17,6,0,4.94,4.88,4.94,4.88,5.0,4.41,4.94,0.8,1,0,1,0,1,0,3,1,1,1,1,0,0,0,0,1105,720.0,381.0,0,1,0,0,1,1,1,0,0,0,1,1.515
3,40.66241,-73.98388,100.0,78.69644493311343,1.0,1.0,1,1,0,0,4,1.5,2.0,3.0,23,53,83,173,30,90,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.08,0,1,1,0,1,2,3,1,0,1,1,0,0,0,0,4126,847.0,749.0,0,0,0,1,1,0,1,1,0,0,1,2.923076923076923
3,40.729621088941,-73.98872421620418,100.0,100.0,32.0,44.0,28,22,6,0,4,1.5,2.0,1.0,0,0,0,259,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,3,3,1,0,1,0,1,0,0,0,2383,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,0,0,1,3.291512915129151
0,40.69232,-73.90985,100.0,70.0,4.0,8.0,3,0,3,0,1,1.0,1.0,1.0,2,10,10,137,30,1125,15,3,0,4.8,4.53,4.73,4.8,5.0,4.87,4.6,0.21,1,1,1,0,1,3,1,1,0,1,1,0,0,0,0,4634,2225.0,129.0,0,1,1,0,1,0,1,0,0,0,1,1.4621848739495797
1,40.83673,-73.8599,91.2799962938942,78.69644493311343,1.0,1.0,1,0,1,0,2,1.0,1.0,1.0,30,60,90,365,30,365,47,0,0,4.98,4.96,4.98,4.96,4.98,4.72,4.96,2.03,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,838,772.0,447.0,0,1,1,0,1,1,1,1,0,0,1,1.125
3,40.718881063824455,-73.99957756118374,74.0,71.0,101.0,173.0,80,79,1,0,4,1.0,2.0,2.0,0,0,0,71,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,1,3,1,0,1,0,1,0,0,0,1158,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,0,0,1,4.25
5,40.743839,-73.973503,100.0,96.0,4494.0,4784.0,876,876,0,0,6,2.0,3.0,3.0,0,0,0,241,31,1125,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,3,3,1,1,1,0,1,0,0,0,2900,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,1,0,1,3.478021978021978
4,40.71952564521077,-73.99990756766786,98.0,100.0,6.0,9.0,6,0,6,0,4,1.0,0.0,2.0,22,46,75,193,1,365,4,4,2,4.5,4.0,4.25,4.5,4.5,4.75,3.5,0.48,0,1,1,1,1,3,1,1,0,1,0,1,0,0,0,869,328.0,97.0,0,1,1,0,0,0,1,0,0,0,0,4.25
2,40.76103,-73.98838,80.0,13.0,3.0,3.0,3,1,2,0,1,1.0,1.0,1.0,9,39,69,344,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,4641,1385.667299530936,382.2577618941255,1,0,0,0,0,0,1,0,0,0,0,3.134851138353765
5,40.67992,-73.93789,100.0,97.0,5.0,7.0,4,4,0,0,2,1.0,1.0,1.0,5,21,51,125,5,1125,238,49,3,4.91,4.88,4.91,4.93,4.93,4.66,4.79,3.25,1,1,1,0,1,3,3,1,0,1,1,0,0,0,0,3899,2274.0,91.0,0,1,1,0,1,1,1,1,0,0,1,1.8409785932721712
4,40.73361142227662,-73.97640991090618,0.0,0.0,1.0,1.0,1,1,0,0,3,1.0,2.0,2.0,28,57,87,362,30,45,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.07,0,1,1,0,1,0,3,1,0,1,0,1,0,0,0,3640,487.0,487.0,0,1,0,0,1,1,1,0,0,0,1,2.3846153846153846
1,40.80994897652494,-73.95424412475279,100.0,79.0,382.0,1480.0,354,2,352,0,1,0.0,4.0,1.0,0,0,0,67,30,180,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,2,1,1,0,1,0,1,0,0,0,1853,1385.667299530936,382.2577618941255,1,0,1,0,0,1,1,0,0,0,1,1.9365351629502572
0,40.6966017,-73.9747498,94.0,72.0,18.0,21.0,18,3,15,0,2,1.0,1.0,1.0,12,42,72,347,30,365,3,0,0,2.0,3.33,2.67,3.33,2.0,2.33,3.0,0.19,0,1,1,0,1,2,1,1,0,1,1,0,0,0,0,698,561.0,466.0,0,1,1,0,0,0,1,0,0,0,1,1.95
4,40.76047575794794,-73.99584706027542,0.0,78.69644493311343,1.0,2.0,1,1,0,0,2,1.0,1.0,1.0,29,59,89,269,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,0,0,3,1,1,1,0,1,0,0,0,3222,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,0,0,1,3.134851138353765
4,40.72428,-73.99579,100.0,0.0,2.0,3.0,2,1,1,0,1,1.0,1.0,1.0,30,60,90,365,31,1125,157,0,0,4.76,4.8,4.59,4.94,4.94,4.94,4.64,1.13,0,1,1,0,1,1,1,1,0,1,0,1,0,0,0,4723,4233.0,757.0,0,0,0,0,1,1,1,1,0,0,1,3.927536231884058
5,40.71808,-73.99675,100.0,99.0,1.0,1.0,1,1,0,0,4,1.0,2.0,2.0,1,7,32,291,4,365,33,33,4,4.97,5.0,5.0,4.97,5.0,4.91,4.88,3.78,1,1,1,1,1,3,3,1,0,0,0,1,0,0,0,359,341.0,84.0,0,0,1,0,1,1,1,0,0,0,1,3.130841121495327
1,40.73438,-73.98564,94.0,60.0,24.0,37.0,24,24,0,0,2,1.0,0.0,1.0,0,0,0,263,30,365,2,2,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.21,0,1,1,0,1,2,3,1,1,1,0,1,0,0,0,1410,360.0,135.0,0,0,1,0,0,1,1,0,0,0,1,2.753623188405797
4,40.68584,-73.91911,91.2799962938942,78.69644493311343,1.0,1.0,1,1,0,0,5,1.0,2.0,4.0,30,60,90,364,30,365,41,2,0,4.85,4.76,4.46,4.95,4.98,4.61,4.78,1.41,1,1,1,0,1,0,3,1,0,1,1,0,0,0,0,4724,951.0,426.0,0,1,1,0,0,0,1,0,0,0,1,1.8409785932721712
4,40.6932,-73.90869,100.0,93.0,2.0,4.0,2,2,0,0,4,1.5,2.0,3.0,1,7,31,31,5,365,28,28,1,4.68,4.93,4.57,4.96,4.79,4.68,4.71,2.7,0,1,1,0,1,2,3,1,0,1,1,0,0,0,0,3606,390.0,95.0,0,1,1,0,1,1,1,0,0,0,1,1.4621848739495797
1,40.6799573424784,-73.90928550542144,100.0,79.0,7.0,9.0,7,0,7,0,2,1.0,3.0,1.0,0,0,0,258,30,365,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,1,1,1,0,1,3,1,1,0,1,1,0,0,0,0,724,328.0,328.0,0,1,0,0,1,0,1,1,0,0,1,1.8409785932721712
1,40.86568,-73.83403,91.2799962938942,78.69644493311343,1.0,2.0,1,1,0,0,4,1.0,1.0,2.0,29,59,89,89,30,30,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,0,1,0,3,1,0,1,0,0,0,1,0,2802,1385.667299530936,382.2577618941255,1,0,0,0,0,0,0,0,0,0,1,1.4285714285714286
1,40.68944,-73.94402,0.0,100.0,1.0,1.0,1,1,0,0,2,1.0,1.0,1.0,0,0,0,260,30,120,126,6,0,4.88,4.94,4.85,4.91,4.94,4.76,4.75,2.54,1,1,1,0,1,0,3,1,0,1,1,0,0,0,0,1770,1567.0,369.0,0,0,0,1,1,1,1,1,0,0,1,1.8409785932721712
1,40.78972782245803,-73.94179165363312,90.0,85.0,7.0,8.0,5,1,4,0,2,1.0,1.0,1.0,30,60,90,365,30,365,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,1,1,2,1,1,0,0,0,1,0,0,0,1286,1385.667299530936,382.2577618941255,1,1,1,0,0,0,1,0,0,0,1,2.0129310344827585
1,40.74561,-73.9822,100.0,97.0,25.0,25.0,25,0,25,0,3,1.0,1.0,2.0,0,0,0,247,30,60,2,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,0,1,1,1,1,3,1,1,1,1,0,1,0,0,0,2485,739.0,453.0,0,1,1,0,0,0,1,0,0,0,0,3.9859154929577465
5,40.80048,-73.952858,100.0,100.0,2.0,2.0,2,2,0,0,6,2.0,3.0,4.0,1,31,61,336,30,365,2,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.12,1,0,1,0,1,3,3,1,1,1,0,1,0,0,0,3443,564.0,418.0,0,1,0,1,0,1,1,1,0,0,1,1.9365351629502572
5,40.71131,-73.94721,91.2799962938942,78.69644493311343,2.0,5.0,2,2,0,0,8,3.0,4.0,4.0,30,60,90,365,30,365,73,8,0,4.93,4.9,4.88,4.97,4.95,4.92,4.88,2.16,1,1,1,0,1,0,3,1,0,1,1,0,0,0,0,3183,1092.0,357.0,0,1,1,0,1,1,1,1,0,0,1,2.7847358121330723
5,40.777553,-73.9834589,100.0,96.0,4494.0,4784.0,876,876,0,0,4,1.5,2.0,2.0,0,0,0,259,31,1125,0,0,0,4.71744248380612,4.741474201474201,4.679155684610231,4.825063658700023,4.808426401608219,4.719873785323355,4.604910654456109,1.2494527585436677,0,1,1,1,1,3,3,1,1,1,0,1,0,0,0,2900,1385.667299530936,382.2577618941255,1,1,1,0,1,1,1,0,1,0,1,3.020408163265306
1,40.75004637594591,-73.99863622615383,100.0,97.0,33.0,38.0,32,0,32,0,2,1.0,1.0,1.0,0,5,24,276,30,365,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.09,0,1,1,1,1,3,1,1,0,1,0,1,0,0,0,563,427.0,427.0,0,1,0,0,1,1,1,0,0,0,0,3.5985130111524164
1,40.75743,-73.99251,100.0,74.0,11.0,11.0,5,1,4,0,2,2.0,1.0,0.0,14,44,74,163,30,365,2,0,0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,0.12,0,1,1,0,1,2,1,1,0,0,0,1,0,0,0,3478,577.0,556.0,0,1,1,0,1,0,1,0,0,0,1,3.134851138353765
2,40.68936,-73.91636,100.0,83.0,1.0,3.0,1,0,1,0,2,1.0,1.0,1.0,3,19,49,49,1,30,28,2,0,4.68,4.86,4.54,4.5,4.75,4.5,4.61,0.87,0,1,1,0,1,3,1,1,0,1,1,0,0,0,0,3492,1043.0,154.0,0,0,0,1,1,1,1,1,0,0,1,1.4621848739495797
1,40.85441,-73.93048,96.0,94.0,103.0,108.0,101,101,0,0,3,1.0,2.0,2.0,0,0,0,180,30,175,2,2,1,5.0,4.5,5.0,5.0,5.0,3.5,4.5,0.71,1,1,1,0,1,3,3,1,0,1,0,1,0,0,0,3455,165.0,107.0,0,1,1,0,1,1,1,1,0,0,1,1.4183006535947713
2,40.74851616586825,-74.00178875889446,100.0,50.0,1.0,3.0,1,1,0,0,2,1.0,0.0,1.0,29,57,59,334,30,1125,1,1,0,3.0,3.0,4.0,3.0,5.0,5.0,2.0,0.44,0,1,1,0,1,2,3,1,0,0,0,1,0,0,0,922,148.0,148.0,0,1,1,0,0,0,1,0,0,0,1,3.5985130111524164
